Title,Character,Manually Added Aliases,Gender,Race/Ethnicity,Annotator Notes,Source,,,
sing unburied sing - ward,Pop,,M,Black,"""Big Joseph is my White grandpa, Pop my Black one.""",book,,,
sing unburied sing - ward,Michael,,M,White,"""Michael, who is white""",wikipedia,,,
sing unburied sing - ward,Kayla,,F,"Black, White",Jojo's three-year-old little sister,wikipedia,,,
sing unburied sing - ward,Mama,,F,Black,Jojo and Kayla's maternal grandmother,wikipedia,,,
sing unburied sing - ward,Leonie,,F,Black,"""Joseph (Jojo) is a main character and one of three narrators. Named after his paternal grandfather, he is the child of Michael, who is white, and Leonie, who is Black.""",wikipedia,,,
sing unburied sing - ward,Jojo,,M,"Black, White","""Joseph (Jojo) is a main character and one of three narrators. Named after his paternal grandfather, he is the child of Michael, who is white, and Leonie, who is Black.""",wikipedia,,,
sing unburied sing - ward,Richie,,M,Black,"""Lot of folks was in there for stealing food because everybody was poor and starving, and even though White people couldn’t get your work for free, they did everything they could to avoid hiring you and paying you for it.""",book,,,
sing unburied sing - ward,Misty,,F,White,"""is Leonie's white friend from work""",wikipedia,,,
germinal - zola,Étienne,,M,White (unmarked),"""the novel – an uncompromisingly harsh and realistic story of a coalminers' strike in northern France in the 1860s"" portrayed by white French actor",wikipedia,,,
germinal - zola,Catherine,,F,White,"""She stretched herself, she fidgeted her two hands in the red hair which covered her forehead and neck.""",book,,,
germinal - zola,Maheude,,F,White (unmarked),"unmarked -- time period, and location implies white",book,,,
germinal - zola,Chaval,,M,White (unmarked),"unmarked -- time period, and location implies white",book,,,
wise blood - o'connor,Haze,,M,White (unmarked),"unmarked -- time period, and location implies white, movie adaptation also features white-appearing actors ",wikipedia,,,
wise blood - o'connor,Enoch,,M,White (unmarked),"unmarked -- time period, and location implies white, movie adaptation also features white-appearing actors ",wikipedia,,,
wise blood - o'connor,the blind man,,M,White (unmarked),"unmarked -- time period, and location implies white, movie adaptation also features white-appearing actors ",wikipedia,,,
wise blood - o'connor,the boy,,M,White (unmarked),"unmarked -- time period, and location implies white, movie adaptation also features white-appearing actors ",wikipedia,,,
wise blood - o'connor,the man,,M,White (unmarked),"unmarked -- time period, and location implies white, movie adaptation also features white-appearing actors ",wikipedia,,,
tess of the d urbervilles - hardy,Tess,,F,White,believed to be descended from an ancient Norman family,wikipedia,,,
tess of the d urbervilles - hardy,Clare,,F,White,believed to be descended from an ancient Norman family,wikipedia,,,
middlemarch - eliot,Dorothea,,F,White (unmarked),"Wealthy in 1800's england, unmarked",wikipedia,,,
middlemarch - eliot,Lydgate,,F,White (unmarked),"Wealthy in 1800's england, unmarked",wikipedia,,,
middlemarch - eliot,Will,,M,White (unmarked),"Wealthy in 1800's england, unmarked",wikipedia,,,
middlemarch - eliot,Rosamond,,F,White (unmarked),"Wealthy in 1800's england, unmarked",wikipedia,,,
middlemarch - eliot,Fred,,M,White (unmarked),"Wealthy in 1800's england, unmarked",wikipedia,,,
middlemarch - eliot,Bulstrode,,M,White (unmarked),"Wealthy in 1800's england, unmarked",wikipedia,,,
middlemarch - eliot,Mr. Casaubon,,M,White (unmarked),"Wealthy in 1800's england, unmarked",wikipedia,,,
oliver twist - dickens,Oliver,,M,White,"""Oliver Twist’s ninth birthday found him a pale thin child""",book,,,
oliver twist - dickens,Mr. Bumble,,M,White (unmarked),historical illustrations of character depict him as white,wikipedia,,,
oliver twist - dickens,the girl,,F,White (unmarked),"no mention of race, other characters in this book are depicted as white, book takes place in England mid-19th century",book,,,
oliver twist - dickens,Fagin,,M,White,"""The novel refers to Fagin 274 time in the first 38 chapters as 'the Jew'""",wikipedia,,,
oliver twist - dickens,Sikes,,M,White,historical illustrations of character depict him as white,book,,,
oliver twist - dickens,the Jew,,M,White,"""the Jew""",book,,,
lolita - nabokov,I,Humbert,M,White, born in Paris in 1910 to an English mother and Swiss father,wikipedia,,,
lolita - nabokov,Lo,,F,White,"""her brown bobbed hair, luminous gray eyes and pale skin""",book,,,
cider house rules - irving,Homer,,M,White (unmarked),"orphan, unmarked",book,,,
cider house rules - irving,Dr. Larch,,M,White (unmarked),"working as an orphanage doctor in the 1920s, unmarked",book,,,
cider house rules - irving,Melony,,F,White (unmarked),"orphan, unmarked",wikipedia,,,
cider house rules - irving,Wally,,M,White (unmarked),"in a wealthy family in the 1920s, unmarked, U.S. ",book,,,
cider house rules - irving,Candy,,F,White (unmarked),"unmarked, ""Homer develops a secret love for Candy"", no mention of miscegeny",Wikipedia,,,
cider house rules - irving,Angel,,M,White (unmarked),son of Candy and Homer ,book,,,
graffiti girl - parra,I,Angel Rodriguez ,F,Latino/a/x,"""I knew I wasn’t anything special. Just another Mexican-American""",book,,,
graffiti girl - parra,Miguel,,M,Latino/a/x,"associated with a group with a Spanish name, social context of book",book,,,
graffiti girl - parra,Nathan,,M,Latino/a/x,"""Nathan was second-generation Mexican-American""",book,,,
graffiti girl - parra,Beth,,F,White,"""Beth and I were even friends since we were so different on the outside, with her light complexion"" ""Beth’s blonde curls"" ""her blue eyes laughing""",book,,,
little women - alcott,Jo,,F,White,"""Jo was very tall, thin, and brown, ... She had a decided mouth, a comical nose, and sharp, gray eyes,""",book,,,
little women - alcott,Laurie,,M,White,"""We are not strangers, we are neighbors, and you needn't think you'd be a bother. """,book,,,
little women - alcott,Amy,,F,White,"""A regular snow-maiden, with blue eyes, and yellow hair, curling on her shoulders, pale and slender,""",book,,,
little women - alcott,Meg,,F,White,"""Margaret, the eldest of the four, was sixteen, and very pretty, being plump and fair, with large eyes, plenty of soft, brown hair, a sweet mouth, and white hands""",book,,,
little women - alcott,Beth,,F,White,"""Beth, as every one called her—was a rosy, smooth-haired, bright-eyed girl of thirteen,""",book,,,
how does it feel to be a problem - bayoumi,Lina,,F,MENA,"""Arab and Muslim Americans are the new, largely undiscussed “problem” of American society, their lives no better understood than those of African Americans a century ago. Under the cover of the terrorist attacks, the wars in Afghanistan and Iraq, and the explosion of political violence around the world, a fundamental misunderstanding of the Arab and Muslim American communities has been allowed to fester and even to define the lives of the seven twentysomething men and women whom we meet in this book. Their names are Rami, Sami, Akram, Lina, Yasmin, Omar, and Rasha, and they all live in Brooklyn, New York, which is home to the largest number of Arab Americans in the United States.""",goodreads,,,
how does it feel to be a problem - bayoumi,Sami,,M,MENA,"""Sami, an Arab American Christian""",goodreads,,,
how does it feel to be a problem - bayoumi,Rami,,M,MENA,"""Arab and Muslim Americans are the new, largely undiscussed “problem” of American society... Their names are Rami, Sami, Akram, Lina, Yasmin, Omar, and Rasha, and they all live in Brooklyn, New York, which is home to the largest number of Arab Americans in the United States.""",goodreads,,,
how does it feel to be a problem - bayoumi,Yasmin,,F,MENA,Yasmin was born in Brooklyn and attended two private Muslim girls’ schools in New Jersey until the seventh grade.,book,,,
how does it feel to be a problem - bayoumi,Akram,,M,MENA,a twenty-one-year-old Palestinian American,book,,,
how does it feel to be a problem - bayoumi,Omar,,M,MENA,his girl friend is described as also Palestinian ,book,,,
how does it feel to be a problem - bayoumi,I,Moustafa Bayoumi,M,MENA,the author is of egyptian descent ,goodreads,,,
how does it feel to be a problem - bayoumi,Rasha,,F,MENA,"""Arab and Muslim Americans are the new, largely undiscussed “problem” of American society, their lives no better understood than those of African Americans a century ago. Under the cover of the terrorist attacks, the wars in Afghanistan and Iraq, and the explosion of political violence around the world, a fundamental misunderstanding of the Arab and Muslim American communities has been allowed to fester and even to define the lives of the seven twentysomething men and women whom we meet in this book. Their names are Rami, Sami, Akram, Lina, Yasmin, Omar, and Rasha, and they all live in Brooklyn, New York, which is home to the largest number of Arab Americans in the United States.""",goodreads,,,
old school - wolff,I,unnamed ,M,White (unmarked),"attends an elite boarding school in the northeastern United States in 1960–61, implied to be middle class, unmarked",wikipedia,,,
old school - wolff,Arch,,M,White (unmarked),"attends an elite boarding school in the northeastern United States in 1960–62, unmarked",wikipedia,,,
old school - wolff,Mr. Ramsey,,M,White (unmarked),"english teacher at an elite boarding school in the northeastern United States in 1960–61, unmarked",wikipedia,,,
noah s compass - tyler,Liam,,M,White (unmarked),"unmarked, father to kitty who is implied to be white",book,,,
noah s compass - tyler,Eunice,,F,White (unmarked),"Eunices boss discusses non white cuisine like this: ""“Well, I can understand that. I used to be the same way. Progresso lentil; that was our major food group, once! Just ask Eunice. But some of the people in my lab, they’re from these different countries and they’re always bringing in their native dishes. I started asking for their recipes. I do like Middle Eastern the best. It’s not just a phase,” he said with an oddly boyish glance of defiance in Eunice’s direction. “Middle Eastern really is a very sophisticated cuisine.”"" , which sounds like a white person talking to another white person ",book,,,
noah s compass - tyler,Kitty,,F,White (unmarked),"""Kitty came back from Ocean City with skin the color of caramel, except for the bridge of her nose, which was pink and peeling."" unmarked",book,,,
noah s compass - tyler,Barbara,,F,White,"""She had that fair, clean skin""",book,,,
invisible man - ellison,I,unnamed ,M,Black,"""The narrator, an unnamed black man""",wikipedia,,,
know my name - miller,I,Chanel Miller,F,"Asian, White","""I wondered if they were surprised I was Asian""",book,,,
know my name - miller,Brock,,M,White,"real life people from the Brock Turner assault at Stanford, headlines mentioning ""white privilege"" in the case",https://www.theguardian.com/society/2016/jun/09/standford-rape-case-white-privilege-brock-turner,,,
parable of the sower - butler,I,Lauren Oya Olamina,F,Black,an African American teenager,wikipedia,,,
parable of the sower - butler,Harry,,M,White,the Balters are white,book,,,
parable of the sower - butler,Bankole,,M,Black,"""We’re both descended from men who assumed African surnames back during the 1960s. His father and my grandfather had had their names legally changed, and both had chosen Yoruba replacement names.""",book,,,
parable of the sower - butler,Zahra,,F,Black,"""We can be a black couple""",book,,,
parable of the sower - butler,Dad,,M,Black,"similar name story to Bankole, also father of the protagonist ",book,,,
brave new world - huxley,Bernard,,M,White (unmarked),"""Bernard is an Alpha-Plus (the upper class of the society)"", white in film adaptations",wikipedia,,,
brave new world - huxley,Lenina,,F,White (unmarked),"Most descriptions only describe her sexual attractiveness, calling her ""attractive"" and ""pneumatic"", white in film adaptations",book,,,
brave new world - huxley,the Savage,,M,White,"""his plaited hair was straw-coloured,
his eyes a pale blue, and his skin a white skin, bronzed."", white in film adaptations",book,,,
brave new world - huxley,Linda,,F,White,"""A very stout blonde squaw stepped across
the threshold and stood looking at the strangers staring incredulously, her mouth open""",book,,,
brave new world - huxley,the Director,,M,White (unmarked),White in multiple film adaptations,IMDB,,,
burgess boys - strout,Bob,,M,White,"Susans twin, ""You’re as white as they come.""",book,,,
burgess boys - strout,Jim,,M,White,bob and susans brother ,book,,,
burgess boys - strout,Helen,,F,White (unmarked),"Jims wife, unmarked",book,,,
burgess boys - strout,Susan,,F,White,"Zachs mother, and twin of Bob",book,,,
burgess boys - strout,Zach,,M,White,"been accused of committing a hate crime against the Somali community (Described as: ""Pretty white boy in the pens."")","book, wikipedia",,,
burgess boys - strout,Pam,,F,White,"discusses minority groups from an outsiders perspective: ""What concerned Pam more, though, was learning that the Somali Bantu—a darker-skinned group, apparently shunned in Somalia,""",book,,,
last of the mohicans - cooper,the scout,,M,White,"the child of white parents, a scout for the British",wikipedia,,,
last of the mohicans - cooper,Heyward,,M,White,a British army major from Virginia,wikipedia,,,
last of the mohicans - cooper,Duncan,,M,White,a British army major from Virginia,wikipedia,,,
last of the mohicans - cooper,Hawkeye,,M,White,"the child of white parents, a scout for the British",wikipedia,,,
last of the mohicans - cooper,Magua,,M,Native/Indigenous,a native guide,wikipedia,,,
native speaker - lee,I,Henry,M,Asian,"""Henry is a Korean American man living in New York City. The novel’s narrator, he works as a spy for Glimmer & Company, a company that gathers information about people for anonymous clients.""",Litcharts,,,
native speaker - lee,Kwang,,M,Asian,"""John Kwang is a Korean American city councilman in New York City.""",Litcharts,,,
native speaker - lee,Lelia,,F,White (unmarked),"""Originally from Massachusetts, she works as a speech specialist who helps people learn English"" unmarked",Litcharts,,,
native speaker - lee,my father,,M,Asian,"""Henry’s father was a Korean immigrant who came to the United States with his wife and son (Henry), settling in New York City and opening a grocery store""",Litcharts,,,
native speaker - lee,Jack,,M,White,"""Jack is a Greek immigrant who works alongside Henry at Glimmer & Company.""",Litcharts,,,
haunting of hill house - jackson,Eleanor,,F,White (unmarked),Film / tv adaptations of the book feature white actors/actresses without mentions of contradicting the intended race of characters in the book,wikipedia,,,
haunting of hill house - jackson,Theodora,,F,White (unmarked),Film / tv adaptations of the book feature white actors/actresses without mentions of contradicting the intended race of characters in the book,wikipedia,,,
haunting of hill house - jackson,the doctor,,M,White (unmarked),Film / tv adaptations of the book feature white actors/actresses without mentions of contradicting the intended race of characters in the book,wikipedia,,,
haunting of hill house - jackson,Luke,,M,White (unmarked),Film / tv adaptations of the book feature white actors/actresses without mentions of contradicting the intended race of characters in the book,wikipedia,,,
haunting of hill house - jackson,I,Eleanor,F,White (unmarked),"Reading snippets of the book indicates that ""I"" is often Eleanor's thoughts conveyed through the narrator, unmarked",wikipedia,,,
black boy - wright,I,Richard Wright,M,Black,"partially autobiographical, about wright's adolescence as a black male in the south",wikipedia,,,
bonesetter s daughter - tan,Ruth,,F,Asian,mother is from China,Litcharts,,,
bonesetter s daughter - tan,I,LuLing,F,Asian,"""She carries a legacy of pain from a difficult relationship with her mother and also has an ambivalent relationship with her identity as a Chinese-American person""",Sparknotes,,,
bonesetter s daughter - tan,Precious Auntie,,F,Asian,"""The mother of LuLing and the grandmother of Ruth""",Sparknotes,,,
bonesetter s daughter - tan,LuLing,,F,Asian,"""The mother of Ruth Young, and one of the novel’s main characters""",Sparknotes,,,
bonesetter s daughter - tan,her mother,,F,Asian,"Assumed to be Ruth's mother, as a focal point of the story is mother-daughter relationships",book,,,
bonesetter s daughter - tan,GaoLing,,F,Asian,"Ostensibly the younger sister of LuLing, but actually LuLing's cousin. GaoLing has a comfortable life as the matriarch of a prosperous multi-generational Chinese-American family. Unlike LuLing, she is not haunted by her past life in China",Sparknotes,,,
yellow raft in blue water - dorris,I,,N/A,N/A,N/A,N/A,,,
yellow raft in blue water - dorris,Aunt Ida,,F,Native/Indigenous,"""It tells the story of three generations of Native American women: Rayona, who is half African-American, her mother Christine, and Christine's mother Aunt Ida.""",Wikipedia,,,
yellow raft in blue water - dorris,Mom,Christine,F,Native/Indigenous,"""It tells the story of three generations of Native American women: Rayona, who is half African-American, her mother Christine, and Christine's mother Aunt Ida.""",wikipedia,,,
yellow raft in blue water - dorris,Dayton,,M,"Native/Indigenous, White","a mixed-blood Native, questionable parentage",book,,,
yellow raft in blue water - dorris,Lee,,M,Native/Indigenous,Christine has a brother named Lee,wikipedia,,,
yellow raft in blue water - dorris,Clara,,F,Native/Indigenous,"""Clara is Christine’s biological mother""",Sparknotes,,,
yellow raft in blue water - dorris,Rayona,,F,"Native/Indigenous, Black","""It tells the story of three generations of Native American women: Rayona, who is half African-American, her mother Christine, and Christine's mother Aunt Ida.""",wikipedia,,,
girls burn brighter an unrestored women - rao,Poornima,,F,Asian,"Both Poornima and Savitha come from the same town in India, Indravalli.",book,,,
girls burn brighter an unrestored women - rao,Savitha,,F,Asian,"Both Poornima and Savitha come from the same town in India, Indravalli.",book,,,
girls burn brighter an unrestored women - rao,Mohan,,M,Asian,"""The first Indian giant she’d ever met.""",book,,,
anna karenina - tolstoy,Anna,,F,White (unmarked),"a russian character in Russia in the 1800s, otherwise unmarked",book,,,
anna karenina - tolstoy,Levin,,M,White (unmarked),"a russian character in Russia in the 1800s, otherwise unmarked",book,,,
anna karenina - tolstoy,Vronsky,,M,White (unmarked),"a russian character in Russia in the 1800s, otherwise unmarked",book,,,
anna karenina - tolstoy,Konstantin,,M,White (unmarked),"a russian character in Russia in the 1800s, otherwise unmarked",book,,,
anna karenina - tolstoy,Alexey Alexandrovitch,,M,White (unmarked),"a russian character in Russia in the 1800s, otherwise unmarked",book,,,
anna karenina - tolstoy,Kitty,,F,White (unmarked),"a russian character in Russia in the 1800s, otherwise unmarked",book,,,
anna karenina - tolstoy,Stepan Arkadyevitch,,M,White (unmarked),"a russian character in Russia in the 1800s, otherwise unmarked",book,,,
breath eyes memory - danticat,I,Sophie,F,Black,"""At the age of twelve, Sophie Caco is sent from her impoverished village of Croix-des-Rosets to New York, to be reunited with a mother she barely remembers. There she discovers secrets that no child should ever know, and a legacy of shame that can be healed only when she returns to Haiti--to the women who first reared her.""",goodreads,,,
breath eyes memory - danticat,my mother,Martine,F,Black,"""At this point, Sophie is unexpectedly summoned by her mother, who lives in Brooklyn having gained asylum and immigrated to the United States. Living with her mother in New York, Sophie discovers the trauma her mother endures inclusive of violent nightmares reminiscent of her experience prior to fleeing Haiti.""",wikipedia,,,
breath eyes memory - danticat,Tante Atie,,F,Black,Sophie's aunt and Martine's sister,book,,,
breath eyes memory - danticat,my grandmother,,F,Black,"Sophie's grandmother, Martine's mother ""Granmè Ifé is a born storyteller who uses Haitian tales and folklore""",litcharts,,,
breath eyes memory - danticat,Joseph,,M,Black,"""He was the color of ground coffee"" ""I am from Louisiana. My parents considered themselves what we call Creoles.""",book,,,
breath eyes memory - danticat,Brigitte,,F,Black,"""I called my daughter Brigitte"" ",book,,,
when they call you a terrorist - cullors,I,Patrisse Khan-Cullors,F,Black,experienced firsthand the prejudice and persecution Black Americans endure at the hands of law enforcement. ,goodreads,,,
when they call you a terrorist - cullors,Monte,,M,Black,Patrisse's older brothers ,book,,,
when they call you a terrorist - cullors,my father,,M,Black,talks about white men derogatorily and others them ,book,,,
when they call you a terrorist - cullors,my mother,,F,Black,"""Condemned as terrorists and as a threat to America, these loving women founded a hashtag that birthed the movement to demand accountability from the authorities who continually turn a blind eye to the injustices inflicted upon people of Black and Brown skin.""",goodreads,,,
unwind - shusterman,Connor,,M,White,"""The only color on his skin is the tan it takes during the summer, but now, in November, that tan has long faded,"" not refered to as umber the word for black in this world",book,,,
unwind - shusterman,Lev,,M,White,"Lev’s eyes are still blue ice, not refered to as umber the word for black in this world ",book,,,
unwind - shusterman,Risa,,F,White (unmarked),"not refered to as umber, which is the word for Black in this book's setting",book,,,
unwind - shusterman,Roland,,M,White (unmarked),"not refered to as umber, which is the word for Black in this book's setting",book,,,
all souls - macdonald,I,Michael Patrick MacDonald,M,White,"about the author and this this character: ""He is of Irish descent."" story about him and his family growing up in --the Irish-American Old Colony projects of South Boston--where 85% of the residents collect welfare in an area with the highest concentration of impoverished whites in the U.S.",goodreads,,,
all souls - macdonald,Ma,,F,White,story about narrator and his family growing up in --the Irish-American Old Colony projects of South Boston--where 85% of the residents collect welfare in an area with the highest concentration of impoverished whites in the U.S.,goodreads,,,
all souls - macdonald,Kevin,,M,White,story about narrator and his family growing up in --the Irish-American Old Colony projects of South Boston--where 85% of the residents collect welfare in an area with the highest concentration of impoverished whites in the U.S.,goodreads,,,
all souls - macdonald,Davey,,M,White,story about narrator and his family growing up in --the Irish-American Old Colony projects of South Boston--where 85% of the residents collect welfare in an area with the highest concentration of impoverished whites in the U.S.,goodreads,,,
sent for you yesterday - wideman,I,Albert Wilkes,M,Black,"""If you looked closely Brother had no color. He was lighter than anybody else, so white was a word some people used to picture him, but he wasn’t white, not white like snow or paper, not even white like the people who called us black.""",book,,,
sent for you yesterday - wideman,Brother,,M,Black,"""If you looked closely Brother had no color. He was lighter than anybody else, so white was a word some people used to picture him, but he wasn’t white, not white like snow or paper, not even white like the people who called us black.""",book,,,
sent for you yesterday - wideman,Lucy,,F,Black,sibling to brother and narrator,book,,,
sent for you yesterday - wideman,Carl,,M,Black,"refered to as: ""You a blackass splib""",book,,,
sent for you yesterday - wideman,Albert Wilkes,,M,Black,"""If you looked closely Brother had no color. He was lighter than anybody else, so white was a word some people used to picture him, but he wasn’t white, not white like snow or paper, not even white like the people who called us black.""",book,,,
sent for you yesterday - wideman,John French,,M,Black,"""Because when John French and Strayhorn drinking wine they were capable of anything, even marching into white people’s living rooms"" implies they are not white",book,,,
sent for you yesterday - wideman,Samantha,,F,Black,"""his mother was a coal-black beautiful woman named Samantha everybody called Sam.""",book,,,
crying in h mart - zauner,I,Michelle Zauner,F,"White, Asian",Her mother was Korean and her father is American of Jewish heritage.,wikipedia,,,
crying in h mart - zauner,my mother,,F,Asian,Her mother was Korean and her father is American of Jewish heritage.,wikipedia,,,
crying in h mart - zauner,my father,,M,White,Her mother was Korean and her father is American of Jewish heritage.,wikipedia,,,
catcher in the rye - salinger,I,Holden Caufield,M,White,"""My brother Allie had this left-handed fielder's mitt."" ... ""People with red hair are supposed to get mad very easily,
but Allie never did, and he had very red hair.""",book,,,
catcher in the rye - salinger,old Phoebe,,F,White,Holden's sister,wikipedia,,,
catcher in the rye - salinger,Stradlater,,M,White (unmarked),"Holden's roommate at boarding school, book takes place in 1950s, unmarked",wikipedia,,,
love medicine - erdrich,I,,N/A,N/A,N/A,N/A,,,
love medicine - erdrich,Gordie,,M,Native/Indigenous, follows the lives of five interconnected Ojibwe families,wikipedia,,,
love medicine - erdrich,King,,M,Native/Indigenous, follows the lives of five interconnected Ojibwe families,wikipedia,,,
love medicine - erdrich,Albertine,,F,Native/Indigenous,"""Albertine resents the narrowly defined role of women within her Native American culture""",Litcharts,,,
love medicine - erdrich,Marie,,F,Native/Indigenous,"""Marie comes from a poor family on the reservation""",Litcharts,,,
love medicine - erdrich,Nector,,M,Native/Indigenous,"""he becomes a leading member of the local tribal council""",Litcharts,,,
love medicine - erdrich,Lulu,,F,Native/Indigenous,"""The traditional Ojibwe wife of Moses Pillager""",Litcharts,,,
love medicine - erdrich,Lyman,,M,Native/Indigenous,"""Lulu and Nector’s son and brother to Gerry and Henry""",Litcharts,,,
love medicine - erdrich,Lipsha,,M,Native/Indigenous,"""Marie and Nector’s adopted son, June and Gerry’s biological son, and King’s half-brother""",Litcharts,,,
my ántonia - cather,I,Jim,M,White,"""His fresh color and sandy hair and quick-changing blue eyes are those
of a young man,""",book,,,
my ántonia - cather,Antonia,,F,White,"""Antonia--they accented the name thus,
strongly, when they spoke to her--was still prettier. I remembered what
the conductor had said about her eyes. They were big and warm and full
of light, like the sun shining on brown pools in the wood. Her skin was
brown, too, and in her cheeks she had a glow of rich, dark colour. Her
brown hair was curly and wild-looking. """,book,,,
my ántonia - cather,Lena,,F,White,"""Her yellow hair was
burned to a ruddy thatch on her head; but her legs and arms, curiously
enough, in spite of constant exposure to the sun, kept a miraculous
whiteness which somehow made her seem more undressed than other girls
who went scantily clad.""",book,,,
perks of being a wallflower - chbosky,I,Charlie,M,White (unmarked),"high school student in a Pittsburgh suburb, unmarked",wikipedia,,,
perks of being a wallflower - chbosky,Sam,,F,White,"""Sam has brown hair and very very pretty green eyes.""",book,,,
perks of being a wallflower - chbosky,Patrick,,M,White (unmarked),"high school student in a Pittsburgh suburb, unmarked",wikipedia,,,
perks of being a wallflower - chbosky,my sister,,F,White (unmarked),"high school student in a Pittsburgh suburb, unmarked",wikipedia,,,
tree grows in brooklyn - smith,Francie,,F,White,"""The skin was white and unharmed""",book,,,
tree grows in brooklyn - smith,Katie,,F,White,"""She is a first-generation immigrant with a despicable father and an angelic mother who emigrated from Austria""",wikipedia,,,
tree grows in brooklyn - smith,Johnny,,M,White,"""He is a first-generation American; his parents immigrated from Ireland, in 1943""",wikipedia,,,
tree grows in brooklyn - smith,Sissy,,F,White (unmarked),"Katie's oldest sister and one of Francie's three aunts, assumed to also be of Austrian descent",wikipedia,,,
tree grows in brooklyn - smith,Neeley,,M,White (unmarked),Francie's little brother,wikipedia,,,
fixer - malamud,Yakov,,M,White,"""The Fixer provides a fictionalized version of the Beilis case.""",wikipedia,,,
fixer - malamud,the fixer,,M,White,"""The Fixer provides a fictionalized version of the Beilis case.""",wikipedia,,,
fixer - malamud,Dologushev,,M,White,"""The Fixer provides a fictionalized version of the Beilis case.""",wikipedia,,,
o pioneers - cather,Alexandra,,F,White,"""the skin is of such smoothness and whiteness as none but Swedish women ever possess; skin with the freshness of the snow itself.""",book,,,
o pioneers - cather,Emil,,M,White,"""yellow hair that would not lie down on his head, and a bristly little yellow mustache, of which he was very proud.""",book,,,
o pioneers - cather,Frank,,M,White,"""a family of Swedish-American immigrants""",wikipedia,,,
o pioneers - cather,Marie,,F,White,"""a family of Swedish-American immigrants""",wikipedia,,,
o pioneers - cather,Carl,,M,White,"""a family of Swedish-American immigrants""",wikipedia,,,
o pioneers - cather,Ivar,,M,White,"""a family of Swedish-American immigrants""",wikipedia,,,
