Author,Gender,Race/Ethnicity,Unmarked White?,Annotator Notes,Source
Ann Petry,F,Black,,"""Her 1946 debut novel The Street became the first novel by an African-American woman to sell more than a million copies.""",https://en.wikipedia.org/wiki/Ann_Petry
Anne Frank,F ,White,,"""The Franks were liberal Jews, and did not observe all of the customs and traditions of Judaism""",https://en.wikipedia.org/wiki/Anne_Frank
Anne Tyler,F,White,,"""Her family lived in a succession of Quaker communities in the South until they settled in 1948 in a Quaker commune in Celo.""",https://en.wikipedia.org/wiki/Anne_Tyler
Annie Moody,F,Black,,"""an American author who wrote about her experiences growing up poor and black in rural Mississippi""",https://en.wikipedia.org/wiki/Anne_Moody
Anthony Doerr,M,White,Y,"""an American author of novels and short stories.""",https://en.wikipedia.org/wiki/Anthony_Doerr
Anthony Trollope,M,White,,"""was an English novelist and civil servant of the Victorian era"" "" son of landed gentry""",https://en.wikipedia.org/wiki/Anthony_Trollope
Arturo Islas,M,Latino/a/x,,"""Arturo Islas, Jr. was a novelist from El Paso, Texas, whose writing focused on the experience of Chicano cultural duality"" ""Islas lived with Jay Spears until they broke up in 1970. Islas learned in 1985 that Spears was in hospital with AIDS, from which he died in 1986. Islas himself died of complications related to AIDS on 15 February 1991 at his campus home.""",https://en.wikipedia.org/wiki/Arturo_Islas
Arundhati Roy,F,Asian,,"""Arundhati Roy was born in Shillong, Meghalaya, India, to Mary Roy, a Malayali Jacobite Syrian Christian women's rights activist from Kerala and Rajib Roy, a Bengali Hindu tea plantation manager from Calcutta.""",https://en.wikipedia.org/wiki/Arundhati_Roy
Barack Obama,M,"Black, White",,"""He was born to an American mother and a Kenyan father.""",https://en.wikipedia.org/wiki/Barack_Obama
Barbara Kingsolver,F,White,Y,"""Barbara Kingsolver (born April 8, 1955) is an American novelist, essayist and poet. She was raised in rural Kentucky""",https://en.wikipedia.org/wiki/Barbara_Kingsolver
Ben Mezrich,M,White,,"""is an American author."" ""He was raised in a Conservative Jewish household""",https://en.wikipedia.org/wiki/Ben_Mezrich
Benjamin Alire Saenz,M,Latino/a/x,,"""In 2013, Benjamin Alire Sáenz became the first Latino to win the prestigious PEN/Faulkner Book Award for Fiction"" ""After 15 years of marriage to his wife, an El Paso family court judge, he came out as gay, and they filed for divorce in 2009.""",https://en.wikipedia.org/wiki/Benjamin_Alire_S%C3%A1enz
Bernard Malamud,M,White,,"""he was one of the best known American Jewish authors of the 20th century.""",https://en.wikipedia.org/wiki/Bernard_Malamud
Betty Smith,F,White,,"""Smith was born Elisabeth Lillian Wehner on December 15, 1896, in the Williamsburg section of Brooklyn, New York to first-generation German-Americans """,https://en.wikipedia.org/wiki/Betty_Smith
Bharati Mukherjee,F,Asian,,"""Bharati Mukherjee (July 27, 1940 – January 28, 2017) was an Indian American-Canadian writer """,https://en.wikipedia.org/wiki/Bharati_Mukherjee
Boris Pasternak,M,White,,"""was a Russian poet, novelist, composer and literary translator.""",https://en.wikipedia.org/wiki/Boris_Pasternak
Bram Stoker,M,White,,"""was an Irish author""",https://en.wikipedia.org/wiki/Bram_Stoker
Bryan Stevenson,M,Black,,"""As a child, Stevenson dealt with segregation and its legacy. He spent his first classroom years at a ""colored"" elementary school""",https://en.wikipedia.org/wiki/Bryan_Stevenson
Bryce Courtenay,M,White,,"""was a South African-Australian advertising director and novelist."" Categorized under ""White South African people""",https://en.wikipedia.org/wiki/Bryce_Courtenay
Buchi Emecheta,F,Black,,"""Buchi Emecheta was born on 21 July 1944, in Lagos, Nigeria, to Igbo parents, Alice (Okwuekwuhe) Emecheta and Jeremy Nwabudinke""",https://en.wikipedia.org/wiki/Buchi_Emecheta
Carson McCullers,F,White,,""" Her mother's grandfather was a planter and Confederate soldier. Her father was a watchmaker and jeweler of French Huguenot descent""",https://en.wikipedia.org/wiki/Carson_McCullers
Celeste Ng,F,Asian,,"""Celeste Ng was born in Pittsburgh, Pennsylvania. Her parents moved from Hong Kong in the late 1960s.""",https://en.wikipedia.org/wiki/Celeste_Ng
Chaim Potok,M,White,,"""Herman Harold Potok was born in Brooklyn, New York, to Benjamin Max (died 1958) and Mollie (née Friedman) Potok (died 1985), Jewish immigrants from Poland""",https://en.wikipedia.org/wiki/Chaim_Potok
Chanel Miller,F,"Asian, White",,"""the elder of two daughters of a Chinese mother and an American father.""",https://en.wikipedia.org/wiki/Chanel_Miller
Chang-Rae Lee,M,Asian,,"""Chang-rae Lee (born July 29, 1965) is a Korean-American novelist and a professor of creative writing at Stanford University.""",https://en.wikipedia.org/wiki/Chang-Rae_Lee
Charles Dickens,M,White,,"""Charles John Huffam Dickens was an English writer and social critic.""",https://www.wikiwand.com/en/Charles_Dickens
Charles Frazier,M,White,Y,"""is an American novelist. """,https://en.wikipedia.org/wiki/Charles_Frazier
Charlotte Bronte,F,White,,"""Charlotte Brontë was born on 21 April 1816 in Market Street, Thornton, west of Bradford in the West Riding of Yorkshire, the third of the six children of Maria (née Branwell) and Patrick Brontë (formerly surnamed Brunty), an Irish Anglican clergyman. """,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB
Cherie Dimaline,F,"White, Native/Indigenous",,"Cherie Dimaline is an Indigenous Canadian writer from the Georgian Bay Métis Nation, a part of Métis Nation of Ontario. She has written a variety of award-winning novels and other acclaimed stories and articles.",https://en.wikipedia.org/wiki/Cherie_Dimaline
Cheryl Strayed,F,White,Y,"Cheryl Strayed is an American writer and podcast host. She has written four books: the novel Torch and the nonfiction books Wild: From Lost to Found on the Pacific Crest Trail, Tiny Beautiful Things and Brave Enough.",https://en.wikipedia.org/wiki/Cheryl_Strayed
Chimamanda Ngozi Adichie,F,Black,,"Chimamanda Ngozi Adichie (/ˌtʃɪmɑːˈmɑːndə əŋˈɡoʊzi əˈdiːtʃeɪ/ (listen) CHIM-ah-MAHN-də əng-GOH-zee ə-DEE-chay;[note 1] born 15 September 1977)[3][4] is a Nigerian writer whose works include novels, short stories and nonfiction.[5] She was described in The Times Literary Supplement as ""the most prominent"" of a ""procession of critically acclaimed young anglophone authors [which] is succeeding in attracting a new generation of readers to African literature"",[6] particularly in her second home, the United States.",https://en.wikipedia.org/wiki/Chimamanda_Ngozi_Adichie
Chinua Achebe,M,Black,,"Chinua Achebe was a Nigerian novelist, poet, and critic who is regarded as the dominant figure of modern African literature. His first novel and magnum opus, Things Fall Apart, occupies a pivotal place in African literature and remains the most widely studied, translated, and read African novel.",https://en.wikipedia.org/wiki/Chinua_Achebe
Chitra Banerjee Divakaruni,F,Asian,,"Chitra Banerjee Divakaruni is an Indian-born American author, poet, and the Betty and Gene McDavid Professor of Writing at the University of Houston Creative Writing Program. Her short story collection, Arranged Marriage, won an American Book Award in 1996. ",https://en.wikipedia.org/wiki/Chitra_Banerjee_Divakaruni
Claude McKay,M,Black,,"Festus Claudius ""Claude"" McKay OJ was a Jamaican-American writer and poet. He was a central figure in the Harlem Renaissance. Born in Jamaica, McKay first travelled to the United States to attend college, and encountered W. E. B",https://en.wikipedia.org/wiki/Claude_McKay
Cormac McCarthy,M,White,,"""His family were Irish Catholics.""",https://en.wikipedia.org/wiki/Cormac_McCarthy
Cristina Garcia,F,Latino/a/x,,Cristina García is a Cuban-born American journalist and novelist. Her first novel Dreaming in Cuban was a finalist for the National Book Award.,https://en.wikipedia.org/wiki/Cristina_Garc%C3%ADa_(journalist)
Cristina Henríquez,F,Latino/a/x,,"""Henríquez's father is from Panama and immigrated to the U.S. in 1971 for college"". Author's book is about Panamanian immigrants","https://www.ci.oswego.or.us/loreads/about-cristina-henriquez#:~:text=Cristina%20Henriquez%20draws%20on%20her,The%20Book%20of%20Unknown%20Americans."
Daniel Defoe,M,White,,"""His father, James Foe, was a prosperous tallow chandler of Flemish descent""",https://en.wikipedia.org/wiki/Daniel_Defoe
Darnell L. Moore,M,Black,,"""For powerful autobiographical reflections on growing up in Camden, NJ, see his two-part essay ""Reflections of a Black Queer Suicide Survivor"":""",https://queer.newark.rutgers.edu/interviews/darnell-l-moore
Dashka Slater,F,White,Y,"""She grew up in Cambridge, Massachusetts but has spent most of her adult life in Oakland, California, where she is always working on far too many writing projects.""",https://theauthorvillage.com/presenters/dashka-slater/
Dave Eggers,M,White,Y,"""born in Boston, Massachusetts"" ""His father was Protestant and his mother was Catholic""",https://en.wikipedia.org/wiki/Dave_Eggers
Dave Pelzer,M,White,Y,"""He is the son of Catherine Roerva Christen Pelzer (1929-1992) and San Francisco fireman Stephen Joseph Pelzer",https://en.wikipedia.org/wiki/Dave_Pelzer
David Guterson,M,White,Y,"""Guterson was born May 4, 1956 in Seattle, Washington the son of criminal defense lawyer Murray Guterson",https://en.wikipedia.org/wiki/David_Guterson
David Wroblewski,M,White,Y,"""David Wroblewski was born in Oconomowoc, Wisconsin, near Milwaukee. ",https://en.wikipedia.org/wiki/David_Wroblewski
Delia Owens,F,White,Y,"""Owens was born and raised in Southern Georgia, where she spent most of her life in or near true wilderness.""",https://en.wikipedia.org/wiki/Delia_Owens
Dick Gregory,M ,Black,,"""Gregory gained attention as a comedian in the early 1960s, and was the first black comedian to widely win plaudits from white audiences",https://www.npr.org/sections/thetwo-way/2017/08/19/544769294/dick-gregory-comedian-and-civil-rights-activist-dies-at-84
Donna Tartt,F,White,Y,"""Tartt grew up in the small town of Grenada, Mississippi. ",https://www.britannica.com/biography/Donna-Tartt
E. L. Doctorow,M,White,,"""Doctorow was born January 6, 1931,[3] in the Bronx, the son of Rose (Levine) and David Richard Doctorow, second-generation Americans of Russian Jewish extraction""",https://en.wikipedia.org/wiki/E._L._Doctorow
E. M. Forster,M,White,,"""Forster, born at 6 Melcombe Place, Dorset Square, London NW1, which no longer stands, was the only child of the Anglo-Irish Alice Clara ""Lily"" (née Whichelo) and a Welsh architect, Edward Morgan Llewellyn Forster.""",https://en.wikipedia.org/wiki/E._M._Forster
Edith Wharton,F,White,,"""She was related to the Rensselaers, the most prestigious of the old patroon families""",https://en.wikipedia.org/wiki/Edith_Wharton
Edwidge Danticat,F,Black,,"""Edwidge Danticat was born in Haiti and moved to the United States when she was twelve.""",https://aalbc.com/authors/author.php?author_name=Edwidge+Danticat
Elie Wiesel,M,White,,"""Elie Wiesel (/ˈɛli viːˈzɛl/, born Eliezer Wiesel Yiddish: אליעזר װיזעל Eliezer Vizel;[2][3] September 30, 1928 – July 2, 2016) was a Romanian-born American writer,""",https://en.wikipedia.org/wiki/Elie_Wiesel
Elizabeth Acevedo,F,"Black, Latino/a/x",,"""Elizabeth Acevedo is an Afro-Dominican performer and author of THE POET X",http://www.acevedowrites.com/
Elizabeth Strout,F,White,Y,"""Elizabeth Strout was born in Portland, Maine, and grew up in small towns in Maine and New Hampshire.""",https://www.elizabethstrout.com/about
Emile Zola,M,White,,"""His father was an Italian engineer with some Greek ancestry,[9] who was born in Venice in 1795, and engineered the Zola Dam in Aix-en-Provence; his mother was French.""",https://en.wikipedia.org/wiki/%C3%89mile_Zola
Emily Bronte,F,White,,"""Emily Brontë was born on 30 July 1818 to Maria Branwell and an Irish father, Patrick Brontë.""",https://en.wikipedia.org/wiki/Emily_Bront%C3%AB
Erich Maria Remarque,M,White,,"""Remarque was born on 22 June 1898, as Erich Paul Remark, to Peter Franz Remark and Anna Maria (née Stallknecht), a working-class Roman Catholic family in Osnabrück """,https://en.wikipedia.org/wiki/Erich_Maria_Remarque
Erika L. Sánchez,F,Latino/a/x,,"""Erika L. Sánchez is a Mexican-American poet, novelist, and essayist.""",https://erikalsanchez.com/
Ernest Gaines,M,Black,,"""In Gaines’s childhood, the center of his world was Cherie Quarter, the former slave quarter on River Lake Plantation, where five generations of his family had lived.",https://ernestgaines.louisiana.edu/author
Ernest Hemingway,M,White,,"""Much of Hemingway’s brand of masculinity was bound up in a white ideal as a kind of understood standard against which everything was to be measured.""",https://www.pbs.org/kenburns/hemingway/hemingway-race-and-ethnicity
Ernesto Quiñonez,M,Latino/a/x,,"""Ernesto Quiñonez (born 1965) is an Ecuadorian-Puerto Rican novelist.",https://en.wikipedia.org/wiki/Ernesto_Qui%C3%B1onez
Esmeralda Santiago,F,Latino/a/x,,"""Esmeralda Santiago (born May 17, 1948) is a Puerto-Rican author known for her narrative memoirs and trans-cultural writing. """,https://en.wikipedia.org/wiki/Esmeralda_Santiago
Evelyn Waugh,M,White,,"""Arthur Evelyn St. John Waugh was born on 28 October 1903 to Arthur Waugh (1866–1943) and Catherine Charlotte Raban (1870–1954), into a family with English, Scottish, Welsh, Irish and Huguenot origins.""",https://en.wikipedia.org/wiki/Evelyn_Waugh
F. Scott Fitzgerald,M,White,,"""His mother was Mary ""Molly"" McQuillan Fitzgerald, the daughter of an Irish immigrant who became wealthy as a wholesale grocer. His father, Edward Fitzgerald, descended from Irish and English ancestry""",https://en.wikipedia.org/wiki/F._Scott_Fitzgerald
Fae Myenne Ng,F,Asian,,"""She is a first-generation Chinese American author""",https://en.wikipedia.org/wiki/Fae_Myenne_Ng
Fiona Mozley,F,White,Y,"""Fiona Mozley was born in 1988 in the London Borough of Hackney, and now lives in Edinburgh. She used to live in York, where she grew up and attended Fulford School.""",https://en.wikipedia.org/wiki/Fiona_Mozley
Flannery O'Connor,F,White,,"""O'Connor was born on March 25, 1925, in Savannah, Georgia, the only child of Edward Francis O'Connor, a real estate agent, and Regina Cline, who were both of Irish descent""",https://en.wikipedia.org/wiki/Flannery_O'Connor
Ford Maddox Ford,M,White,Y,"""Ford Madox Ford was an English novelist, poet, critic and editor""",https://en.wikipedia.org/wiki/Ford_Madox_Ford
Frances Hodgson Burnett,F,White,Y,"""She was the third of five children of Edwin Hodgson, an ironmonger from Doncaster in Yorkshire, and his wife Eliza Boond, from a well-to-do Manchester family.""",https://en.wikipedia.org/wiki/Frances_Hodgson_Burnett
Francisco Jiménez,M,Latino/a/x,,"""Francisco Jiménez (born June 29, 1943 in Tlaquepaque, Mexico) is a Mexican-American writer and professor at Santa Clara University in Santa Clara, California.""",https://en.wikipedia.org/wiki/Francisco_Jim%C3%A9nez_(writer)
Frank Norris,M,White,Y,"""Norris was born in Chicago, Illinois, in 1870. His father, Benjamin, was a self-made Chicago businessman and his mother, Gertrude Glorvina Doggett, had a stage career.""",https://en.wikipedia.org/wiki/Frank_Norris
Franz Kafka,M,White,,"""Kafka was born into a middle-class German-speaking Czech Jewish family in Prague""",https://en.wikipedia.org/wiki/Franz_Kafka
Frederick Douglass,M,"Black, Native/Indigenous, White",,"""Douglass was of mixed race, which likely included Native American and African on his mother's side, as well as European""",https://en.wikipedia.org/wiki/Frederick_Douglass
Fyodor Dostoevsky,M,White,,"""Dostoevsky's paternal ancestors were part of a noble family of Russian Orthodox Christians. The family traced its roots back to Danilo Irtishch, who was granted lands in the Pinsk region (for centuries part of the Grand Duchy of Lithuania, now in modern-day Belarus""",https://en.wikipedia.org/wiki/Fyodor_Dostoevsky
Gabriel García Márquez,M,Latino/a/x,,"""Gabriel García Márquez was born on 6 March 1927 in Aracataca, Colombia, to Gabriel Eligio García and Luisa Santiaga Márquez Iguarán""",https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez
Geoffrey Canada,M,"Black, White",,"""Coming to terms with mixed roots can be surprising and sometimes even painful. Educator Geoffrey Canada visits Franklin County Virginia where, a white man possibly fathered one of his enslaved ancestors more than a century ago.""",https://www.pbs.org/weta/finding-your-roots/watch/extras/geoffrey-canada-both-sides-of-slavery
George Eliot,F,White,Y,"""Mary Ann Evans (22 November 1819 – 22 December 1880; alternatively Mary Anne or Marian), known by her pen name George Eliot, was an English novelist, poet, journalist, translator, and one of the leading writers of the Victorian era""",https://en.wikipedia.org/wiki/George_Eliot
George Jenkins,M,Black,,"""We Beat the Street: How a Friendship Pact Led to Success is an American autobiography aimed at young adults written by The Three Doctors and Sharon M. Draper"" ""The Three Doctors is a group of African-American motivational speakers, authors, and doctors""",https://en.wikipedia.org/wiki/We_Beat_the_Street
Sharon M. Draper,F,Black,,"""She is a five-time winner of the Coretta Scott King Award""",https://en.wikipedia.org/wiki/Sharon_Draper
George M. Johnson,X,Black,,"""George M. Johnson, is a queer Black American author"" ""Johnson is queer and non-binary.""",https://en.wikipedia.org/wiki/George_M._Johnson_(writer)
George Orwell,M,White,,"""His great-grandfather, Charles Blair, was a wealthy country gentleman and absentee owner of Jamaican plantations from Dorset who married Lady Mary Fane, daughter of the 8th Earl of Westmorland.""",https://en.wikipedia.org/wiki/George_Orwell
Gish Jen,F,Asian,,"""Gish Jen is a second-generation Chinese American.""",https://en.wikipedia.org/wiki/Gish_Jen
Gloria Naylor,F,Black,,"""The Naylors, who had been sharecroppers in Robinsonville, Mississippi, had migrated to Harlem to escape life in the segregated South""",https://en.wikipedia.org/wiki/Gloria_Naylor
Gustave Flaubert,M,White,Y,"""Flaubert was born in Rouen, in the Seine-Maritime department of Upper Normandy, in northern France. He was the second son of Anne Justine Caroline (née Fleuriot; 1793–1872) and Achille-Cléophas Flaubert (1784–1846), director and senior surgeon of the major hospital in Rouen""",https://en.wikipedia.org/wiki/Gustave_Flaubert
H. G. Bissinger,M,White,Y,"""Harry Gerard Bissinger III, also known as Buzz Bissinger and H. G. Bissinger (born November 1, 1954) is an American journalist and author""",https://en.wikipedia.org/wiki/Buzz_Bissinger
Ha Jin,M,Asian,,"""Jin Xuefei is a Chinese-American poet and novelist using the pen name Ha Jin""",https://en.wikipedia.org/wiki/Ha_Jin
Harper Lee,F,White,,"""Through her father, she was related to Confederate General Robert E. Lee"". Harper Lee is also a well-known example of a white author writing about Black characters",https://www.wikiwand.com/en/Harper_Lee
Harriet Beecher Stowe,F,White,Y,"""Harriet Elisabeth Beecher Stowe (/stoʊ/; June 14, 1811 – July 1, 1896) was an American author and abolitionist.""",https://en.wikipedia.org/wiki/Harriet_Beecher_Stowe
Haruki Murakami,M,Asian,,"""Murakami was born in Kyoto, Japan, during the post-World War II baby boom and raised in Nishinomiya, Ashiya and Kobe. He is an only child. His father was the son of a Buddhist priest, and his mother is the daughter of an Osaka merchant""",https://en.wikipedia.org/wiki/Haruki_Murakami
Héctor Tobar,M,Latino/a/x,,"Tobar is the son of Guatemalan immigrants. His long career in journalism includes work for The New Yorker, LA Weekly, and many positions at the Los Angeles Times.","https://ar.usembassy.gov/education-culture/los-angeles-guest-city-buenos-aires-international-book-fair/hector-tobar/#:~:text=Tobar%20is%20the%20son%20of,at%20the%20Los%20Angeles%20Times."
Henry David Thoreau,M,White,Y,"Henry David Thoreau (July 12, 1817 – May 6, 1862) was an American naturalist, essayist, poet, and philosopher",https://en.wikipedia.org/wiki/Henry_David_Thoreau
Henry Fielding,M,White,,"Henry Fielding was an English novelist, irony writer, and dramatist known for earthy humour and satire. His comic novel Tom Jones is still widely appreciated.",https://en.wikipedia.org/wiki/Henry_Fielding
Henry James,M,White,,"Henry James was an American Gothic author, best known for his works, The Turn of the Screw, The Portrait of a Lady, and The American. He was born in New York on the 15th of April 1843. His parents were of Irish descent with his paternal grandparents hailing from Bailieborough, Co. Cavan.","https://www.irelandxo.com/ireland-xo/history-and-genealogy/ancestor-database/henry-james-1843#:~:text=Henry%20James%20was%20an%20American,Cavan."
Herman Melville,M,White,,Herman was the third of eight children in a family of Scottish and Dutch descent.,https://en.wikipedia.org/wiki/Herman_Melville
Hermann Hesse,M,White,,"Hermann Karl Hesse (German: [ˈhɛʁman ˈhɛsə] ( listen); 2 July 1877 – 9 August 1962) was a German-Swiss poet, novelist, and painter.",https://en.wikipedia.org/wiki/Hermann_Hesse
Homeira Qaderi,F,MENA,,"""She was born in Kabul, Afghanistan during the Russian occupation to an artist mother and a father who is a high school teacher. Dr. Qaderi's early childhood was spent first sheltering from the Soviets and then from the civil war following the Soviet withdrawal.""",https://en.wikipedia.org/wiki/Homeira_Qaderi
Ian McEwan,M,White,,"""His father was a working-class Scotsman who had worked his way up through the army to the rank of major""",https://en.wikipedia.org/wiki/Ian_McEwan
Immaculee Ilibagiza,F,Black,,"""Immaculée Ilibagiza (born 1972) is a Rwandan American author and motivational speaker. """,https://en.wikipedia.org/wiki/Immacul%C3%A9e_Ilibagiza
Isaak Dinesen,F,White,,"""Baroness Karen Christenze von Blixen-Finecke (born Dinesen; 17 April 1885 – 7 September 1962) was a Danish author who wrote works in Danish and English. She is also known under her pen names Isak Dinesen, used in English-speaking countries,""",https://en.wikipedia.org/wiki/Karen_Blixen
Isabel Allende,F,Latino/a/x,,"""Allende was born in Lima, Peru, the daughter of Francisca Llona Barros called ""Doña Panchita"" (the daughter of Agustín Llona Cuevas and Isabel Barros Moreira, of Portuguese descent) and Tomás Allende, who was at the time a second secretary at the Chilean embassy.""",https://en.wikipedia.org/wiki/Isabel_Allende
Isabel Quintero,F,Latino/a/x,,"""Isabel Quintero is a writer and the daughter of Mexican immigrants.""","https://www.unr.edu/liberal-arts/mfa-creative-writing/faculty/isabel-quintero#:~:text=Summary,Inland%20Empire%20of%20Southern%20California."
Isabel Wilkerson,F,Black,,"""She won the Pulitzer Prize for Feature Writing in 1994, as Chicago Bureau Chief of The New York Times, making her the first African-American woman to win a Pulitzer Prize in journalism""",https://www.isabelwilkerson.com/
Ishmael Beah,M,Black,,"""In 1991, the Sierra Leone Civil War started. Rebels invaded Beah's hometown, Mogbwemo, located in the Southern Province of Sierra Leone, and he was forced to flee.""",https://en.wikipedia.org/wiki/Ishmael_Beah
J.D. Salinger,M,White,,"""His father, Sol Salinger, traded in Kosher cheese, and was from a family of Lithuanian-Jewish descent... Salinger's mother, Marie (née Jillich), was born in Atlantic, Iowa, of German, Irish, and Scottish descent""",https://en.wikipedia.org/wiki/J._D._Salinger
Jamal Joseph,M,"Black, Latino/a/x",,"""Jamal Joseph was born Edward L. Joseph in New York City. His parents, who never married, were both Afro-Cuban; his father, Alipio Zorilla, was a revolutionary comrade of Fidel Castro""",https://en.wikipedia.org/wiki/Jamal_Joseph
James Baldwin,M,Black,,"""James Arthur Baldwin (August 2, 1924 – December 1, 1987) was an African American writer."" ""The only out gay men in the movement were Baldwin and Bayard Rustin""",https://en.wikipedia.org/wiki/James_Baldwin#Inspiration_and_relationships
James Fenimore Cooper,M,White,Y,"""Shortly after James' first birthday, (1790) his family moved to Cooperstown, New York, a community founded by his father on a large piece of land which he had bought for development. Later, his father was elected to the United States Congress as a representative from Otsego County""",https://en.wikipedia.org/wiki/James_Fenimore_Cooper
James Joyce,M,White,,"""Joyce was born in Dublin into a middle-class family. He attended the Jesuit Clongowes Wood College in County Kildare, then, briefly, the Christian Brothers-run O'Connell School.""",https://en.wikipedia.org/wiki/James_Joyce
James McBride,M,"Black, White",,"""McBride's father, Rev. Andrew D. McBride (August 8, 1911 – April 5, 1957) was African-American; he died of cancer at the age of 45. His mother, Ruchel Dwajra Zylska (name changed to Rachel Deborah Shilsky, and later to Ruth McBride Jordan; April 1, 1921 – January 9, 2010), was a Jewish immigrant from Poland""",https://en.wikipedia.org/wiki/James_McBride_(writer)
James Weldon Johnson,M,"Black, White",,"""Johnson was born in 1871 in Jacksonville, Florida, the son of James Johnson, a Mulatto headwaiter and Helen Louise Dillet, a native of Nassau and Bahamas.""",https://en.wikipedia.org/wiki/James_Weldon_Johnson
Jane Austen,M,White,Y,"""Jane Austen (/ˈɒstɪn, ˈɔːs-/; 16 December 1775 – 18 July 1817) was an English novelist known primarily for her six major novels, which interpret, critique, and comment upon the British landed gentry at the end of the 18th century""",https://en.wikipedia.org/wiki/Jane_Austen
Jane Smiley,F,White,Y,"""Jane Smiley (born September 26, 1949) is an American novelist. She won the Pulitzer Prize for Fiction in 1992 for her novel A Thousand Acres (1991).""",https://en.wikipedia.org/wiki/Jane_Smiley
Janet Mock,F,"Black, Asian, Pacific Islander, White",,"""Her father, Charlie Mock III, is African-American, and her mother, Elizabeth (née Barrett), is of half Portuguese descent, part Asian descent and part Native Hawaiian (kānaka maoli) descent""",https://en.wikipedia.org/wiki/Janet_Mock
Jason Reynolds,M,Black,,"""At nine years old, Reynolds was inspired by Queen Latifah's third album, Black Reign, to start writing poetry. Outside of her rap, few literary works spoke to his experience of urban life growing up as a black child and then teenager in the 1980s and 1990s, and he didn't start reading books until he was 17.""",https://en.wikipedia.org/wiki/Jason_Reynolds
Brendan Kiely,M,White,,"""His most recent book is The Other Talk: Reckoning with Our White Privilege""",https://www.brendankiely.com/about-menu
Jay Asher,M,White,,"""Asher was born in Arcadia, California, on September 30, 1975. He is half Jewish.""",https://en.wikipedia.org/wiki/Jay_Asher
Jean Rhys,F,White,,"""Rhys's father, William Rees Williams, was a Welsh medical doctor and her mother, Minna Williams, née Lockhart, a third-generation Dominican Creole of Scots ancestry. (""Creole"" was broadly used in those times to refer to any person born on the island, whether they were of European or African descent, or both.)""",https://en.wikipedia.org/wiki/Jean_Rhys
Jeanette Winterson,F,White,Y,"""Winterson was born in Manchester and adopted by Constance and John William Winterson on 21 January 1960. She grew up in Accrington, Lancashire, and was raised in the Elim Pentecostal Church."" ""By the age of 16, Winterson had come out as a lesbian and left home""",https://en.wikipedia.org/wiki/Jeanette_Winterson
Jeannette Walls,F,White,Y,"""Jeannette Walls (born April 21, 1960) is an American author and journalist widely known as former gossip columnist for MSNBC.com and author of The Glass Castle, a memoir of the nomadic family life of her childhood""",https://en.wikipedia.org/wiki/Jeannette_Walls
